id,alias,name,image_url,is_closed,url,review_count,categories,rating,latitude,longitude,distance,address,price,is_delivery,is_pickup,category
uh6V67Z6fNLZUVgKiUKNFQ,pierces-park-baltimore,Pierce's Park,https://s3-media3.fl.yelpcdn.com/bphoto/ilfRZ8HOZzfNBaD4EKuRRQ/o.jpg,False,https://www.yelp.com/biz/pierces-park-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,10,Parks,5.0,39.2853284139052,-76.6059172153473,9979.033404235845,"716 Eastern Blvd Baltimore, MD 21202",,False,False,parks
5w1BkUMCgAccP4CkvtZrdw,patapsco-valley-state-park-mckeldin-area-marriottsville,Patapsco Valley State Park - McKeldin Area,https://s3-media3.fl.yelpcdn.com/bphoto/7XH7NAZP_N8gX23JIK5dfA/o.jpg,False,https://www.yelp.com/biz/patapsco-valley-state-park-mckeldin-area-marriottsville?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,15,"Parks, Disc Golf",4.5,39.3598948706115,-76.8908660587083,19226.17225726993,"11676 Marriottsville Rd Marriottsville, MD 21104",,False,False,parks
bBLnDbPiFkrR3hkAraR8oQ,gunpowder-falls-state-park-bradshaw,Gunpowder Falls State Park,https://s3-media2.fl.yelpcdn.com/bphoto/MvLtP-NlXfTLZqAjTEgZRw/o.jpg,False,https://www.yelp.com/biz/gunpowder-falls-state-park-bradshaw?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,14,Parks,4.5,39.3672763091588,-76.5185419097543,21055.2598924212,"2813 Jerusalem Rd Bradshaw, MD 21087",,False,False,parks
QqsY2AWn1L8VPOEbnxgjug,canton-waterfront-park-baltimore,Canton Waterfront Park,https://s3-media2.fl.yelpcdn.com/bphoto/hQHKc8oGZ-VFwXbdmIoQaA/o.jpg,False,https://www.yelp.com/biz/canton-waterfront-park-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,22,Parks,4.0,39.2769851685811,-76.5737677617838,12382.209834308396,"3001 Boston St Baltimore, MD 21224",,False,False,parks
Rf6iZtj_NySJgl3SRIU_2w,cascade-trail-in-patapsco-valley-state-park-orange-grove-area-catonsville,Cascade Trail in Patapsco Valley State Park - Orange Grove Area,https://s3-media3.fl.yelpcdn.com/bphoto/OO2FNLmgDdQ7seiSQ1016g/o.jpg,False,https://www.yelp.com/biz/cascade-trail-in-patapsco-valley-state-park-orange-grove-area-catonsville?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,13,"Hiking, Parks",4.5,39.245472,-76.7438354,2577.278257657697,"1101 Hilton Ave Patapsco Valley State Park - Orange Grove Area Catonsville, MD 21228",,False,False,parks
vFQoKRWm19H3HNgzKHOiHw,b-and-a-trail-severna-park,B&A Trail,https://s3-media4.fl.yelpcdn.com/bphoto/JbZSBlSpPDrUL5Zlx9NQzg/o.jpg,False,https://www.yelp.com/biz/b-and-a-trail-severna-park?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,14,"Hiking, Parks",4.5,39.096808,-76.569639,21433.880301745783,"51 W Earleigh Heights Rd Severna Park, MD 21146",,False,False,parks
X9FtonFLSA67sPtb6Lfqdg,columbia-sportspark-columbia-2,Columbia SkatePark,https://s3-media4.fl.yelpcdn.com/bphoto/eTp5woQMYcLQEEixLUAmbw/o.jpg,False,https://www.yelp.com/biz/columbia-sportspark-columbia-2?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,21,"Mini Golf, Skate Parks, Batting Cages",4.0,39.22441,-76.89015,15550.783306158804,"5453 Harpers Farm Rd Columbia, MD 21044",,False,False,parks
RTaAlDt0tQblmFFi6XDoHg,latrobe-park-baltimore,Latrobe Park,https://s3-media3.fl.yelpcdn.com/bphoto/Ybm79sI33WUtg3cCgUWLCQ/o.jpg,False,https://www.yelp.com/biz/latrobe-park-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,16,"Playgrounds, Dog Parks",4.0,39.2670822143555,-76.5932769775391,10535.911701448264,"1529 Fort Ave Baltimore, MD 21230",,False,False,parks
j8DwJdAjmEfm4xPBxyCKfw,patapsco-state-tire-park-catonsville,Patapsco State Tire Park,https://s3-media4.fl.yelpcdn.com/bphoto/-8b7IPuBt34SoTrDejVlLg/o.jpg,False,https://www.yelp.com/biz/patapsco-state-tire-park-catonsville?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,10,"Playgrounds, Parks",4.5,39.245379,-76.745201,2808.7112148344363,"1001 Hilton Ave Catonsville, MD 21228",,False,False,parks
w3i0IY-IniTbRwDj_q7JHw,downtown-columbia-lakefront-columbia,Downtown Columbia Lakefront,https://s3-media2.fl.yelpcdn.com/bphoto/79afREoZWpHLiMvW_XeNAg/o.jpg,False,https://www.yelp.com/biz/downtown-columbia-lakefront-columbia?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,8,Parks,5.0,39.2165344,-76.8565958,12924.920065768933,"10275 Wincopin Cir Columbia, MD 21044",,False,False,parks
jZHvxqV5DvGrUId8_9XwOQ,cromwell-valley-park-parkville,Cromwell Valley Park,https://s3-media4.fl.yelpcdn.com/bphoto/F1UZyxQp-2cW81bDrQxlGw/o.jpg,False,https://www.yelp.com/biz/cromwell-valley-park-parkville?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,8,Parks,5.0,39.41605,-76.550985,22873.433756162267,"2002 Cromwell Bridge Rd Parkville, MD 21234",,False,False,parks
EYrO2fvRWZn9S_y8vn0UwA,rockburn-branch-park-elkridge,Rockburn Branch Park,https://s3-media1.fl.yelpcdn.com/bphoto/28PsTu0VrGv4vyUZXZ5d7w/o.jpg,False,https://www.yelp.com/biz/rockburn-branch-park-elkridge?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,12,"Parks, Playgrounds",4.5,39.22104,-76.75972,5302.699200732367,"5400 Landing Rd Elkridge, MD 21075",,False,False,parks
9PHc49AHBPBF3JzyF2D1gg,patterson-dog-park-baltimore,Patterson Dog Park,https://s3-media4.fl.yelpcdn.com/bphoto/arlN96VwGfo1Rk03TDi6kQ/o.jpg,False,https://www.yelp.com/biz/patterson-dog-park-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,12,Dog Parks,4.5,39.2883139497469,-76.5762311965227,12501.698576056822,"200 S Linwood Ave Baltimore, MD 21224",,False,False,parks
nWO6x64Yzaqzfu6SI13F2A,dinosaur-park-laurel,Dinosaur Park,https://s3-media2.fl.yelpcdn.com/bphoto/Np1mYl_8mof8EVokBTjZMw/o.jpg,False,https://www.yelp.com/biz/dinosaur-park-laurel?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,11,Parks,4.5,39.0707557439947,-76.8687113647028,24312.18042934936,"13200 Mid-Atlantic Blvd Laurel, MD 20708",,False,False,parks
